SampleDepth;cN;cC;C.N.ratio;North;East
10;0.03;1.1;36.7;7134979.224;732979.309
10;0.2;5.98;29.9;7134984.011;734377.015
10;0.09;1.97;21.9;7134982.361;734732.519
10;0.1;3.32;33.2;7134983.717;735782.45
10;0.03;0.74;24.7;7134631.282;727381.978
10;0.04;1.07;26.8;7134631.875;727727.57
10;0.03;0.91;30.3;7134631.009;728779.691
10;0.03;1.08;36;7134631.799;729133.342
10;0.03;0.81;27;7134629.639;730179.322
10;0.06;2.39;39.8;7134631.929;730528.738
10;0.03;1.07;35.7;7134632.81;731571.93
10;0.06;2.18;36.3;7134630.612;732981.952
10;0.05;1.22;24.4;7134628.006;733333.377
10;0.03;0.84;28;7134626.777;735768.299
10;0.07;2.21;31.6;7134280.982;727730.294
10;0.06;2.2;36.7;7134281.586;728080.971
10;0.05;1.83;36.6;7134275.298;728428.778
10;0.04;1.92;48;7134284.312;729480.102
10;0.09;3.64;40.4;7134279.634;729833.29
10;0.01;0.85;85;7134281.092;730882.544
10;0.02;0.93;46.5;7134279.03;731222.068
10;0.02;0.86;43;7134286.336;731930.622
10;0.03;1;33.3;7134277.928;732277.009
10;0.09;3.35;37.2;7134271.763;732630.598
10;0.02;0.68;34;7134278.794;733685.349
10;0.09;2.38;26.4;7134283.796;734033.112
10;0.07;1.89;27;7134281.941;735436.425
10;0.03;0.81;27;7133934.105;727030.635
10;0.1;3.25;32.5;7133921.785;728082.498
10;0.04;0.94;23.5;7133931.24;729830.999
10;0.03;0.92;30.7;7133930.484;731230.02
10;0.02;0.8;40;7133929.849;731582.081
10;0.43;10.81;25.1;7133932.606;731936.463
10;0.04;0.56;14;7133928.935;732634.392
10;0.04;0.97;24.3;7133930.214;733689.269
10;0.05;2.14;42.8;7133931.208;735085.369
10;0.07;2.49;35.6;7133931.387;736485.276
10;0.04;2.71;67.8;7133576.358;728776.144
10;0.2;4.56;22.8;7133579.844;729133.506
10;0.04;1.63;40.8;7133584.543;730177.258
10;0.04;1.58;39.5;7133579.641;730533.869
10;0.02;1.13;56.5;7133583.53;730879.925
10;0.04;1.11;27.8;7133586.555;731226.988
10;0.07;2.03;29;7133582.162;731577.026
10;0.03;0.88;29.3;7133579.087;731933.101
10;0.07;2.66;38;7133582.2;732281.06
10;0.6;15.87;26.5;7133593.27;732973.851
10;0.06;1.22;20.3;7133572.514;733332.604
10;0.03;1.63;54.3;7133589.944;734736.639
10;0.05;1.41;28.2;7133587.492;735774.275
10;0.1;2.67;26.7;7133584.845;736130.614
10;0.07;2.35;33.6;7133231.917;729479.895
10;0.05;1.61;32.2;7133227.676;730179.602
10;0.02;0.5;25;7133229.01;730532.824
10;0.12;4.09;34.1;7133227.538;730882.06
10;0.03;0.7;23.3;7133233.649;731232.186
10;0.03;0.71;23.7;7133204.258;731611.094
10;0.05;1.85;37;7133233.652;731928.777
10;0.05;1.24;24.8;7133224.315;732279.272
10;0.06;1.67;27.8;7133228.362;732627.825
10;0.05;1.78;35.6;7133234.126;733326.016
10;0.09;1.48;16.4;7133232.247;734378.727
10;0.03;0.87;29;7133234.035;734727.859
10;0.09;2.64;29.3;7133236.881;735782.295
10;0.07;1.73;24.7;7132883.626;729831.377
10;0.06;1.03;17.2;7132882.08;731229.808
10;0.03;0.72;24;7132883.287;731578.159
10;0.12;3.31;27.6;7132880.565;731935.495
10;0.05;1.85;37;7132884.035;732277.414
10;0.1;2.53;25.3;7132877.314;732632.972
10;0.09;3.82;42.4;7132881.509;735434.012
10;0.08;1.91;23.9;7132530.872;729482.831
10;0.11;2.51;22.8;7132534.834;729833.045
10;0.03;0.79;26.3;7132533.354;730880.151
10;0.03;1.09;36.3;7132529.488;731227.832
10;0.03;1.15;38.3;7132529.63;731581.177
10;0.06;1.65;27.5;7132535.864;731928.16
10;0.17;4.64;27.3;7132528.151;732279.73
10;0.23;6.26;27.2;7132532.438;732628.812
10;0.11;2.47;22.5;7132530.056;733682.465
10;0.07;1.1;15.7;7132532.311;734031.344
10;0.05;0.5;10;7132182.223;731579.302
10;0.1;2.63;26.3;7132180.344;731932.458
10;0.12;2.61;21.8;7132182.979;732982.304
10;0.08;1.29;16.1;7132186.76;733331.292
10;0.08;1.29;16.1;7132175.543;734386.939
10;0.06;0.84;14;7132189.692;734710.538
10;0.04;1.52;38;7132180.57;735781.509
10;0.11;2.83;25.7;7131828.784;730177.873
10;0.06;1.7;28.3;7131823.537;731577.724
10;0.08;2.3;28.8;7131833.152;731928.569
10;0.13;2.01;15.5;7131824.163;732979.017
10;0.11;2.92;26.5;7131839.415;734380.606
10;0.09;2.12;23.6;7131490.936;730881.776
10;0.05;1.17;23.4;7131479.747;731230.743
10;0.1;2.08;20.8;7131481.41;732278.391
10;0.05;1.02;20.4;7131484.966;732633.028
10;0.04;1.14;28.5;7131482.02;734032.546
10;0.05;0.72;14.4;7131480.374;735079.501
10;0.06;1.15;19.2;7131481.073;735429.704
10;0.11;4.41;40.1;7131138.837;731234.468
10;0.05;1.13;22.6;7131142.539;733680.999
10;0.06;0.69;11.5;7131130.636;734026.951
10;0.09;2.93;32.6;7131129.72;735429.805
10;0.03;0.9;30;7130776.267;729831.519
10;0.11;2.57;23.4;7130788.309;730538.104
10;0.05;1.05;21;7130782.748;731578.179
10;0.09;1.78;19.8;7130782.523;731934.504
10;0.07;1.22;17.4;7130782.312;733331.039
10;0.1;1.45;14.5;7130781.607;734382.123
10;0.15;3.36;22.4;7130780.96;734730.833
10;0.15;2.84;18.9;7130782.645;735778.404
10;0.02;0.76;38;7130431.066;730181.297
10;0.06;1.6;26.7;7130427.434;730525.962
10;0.09;2.33;25.9;7130429.446;731581.77
10;0.05;1.86;37.2;7130429.528;731929.796
10;0.09;1.91;21.2;7130430.196;732976.239
10;0.09;1.68;18.7;7130429.92;733329.944
10;0.09;1.53;17;7130428.14;734379.664
10;0.11;3.06;27.8;7130427.422;734729.191
10;0.05;1.43;28.6;7130435.704;735772.723
10;0.07;1.41;20.1;7130083.767;730882.685
10;0.05;1.4;28;7130083.424;731229.77
10;0.08;1.56;19.5;7130076.933;732277.493
10;0.1;1.41;14.1;7130080.551;733678.794
10;0.06;1.13;18.8;7130082.429;734028.075
10;0.03;0.3;10;7130081.203;735077.931
10;0.03;1.01;33.7;7130082.779;735431.108
10;0.06;2.56;42.7;7130069.659;735780.147
10;0.04;1.05;26.3;7130081.14;736136.945
10;0.02;0.35;17.5;7130086.164;736492.783
10;0.05;1.58;31.6;7130083.918;736829.121
10;0.06;1.47;24.5;7129731.594;730880.065
10;0.08;1.62;20.3;7129732.856;731230.72
10;0.02;0.39;19.5;7129732.793;732280.5
10;0.04;1.19;29.8;7129730.698;733678.339
10;0.05;1.15;23;7129734.071;734028.011
10;0.09;2.7;30;7129735.813;735081.25
10;0.03;0.94;31.3;7129733.02;735431.166
10;0.05;1.43;28.6;7129728.786;735771.216
10;0.04;2.52;63;7129383.515;730529.537
10;0.06;1.46;24.3;7129379.655;733328.932
10;0.04;1.09;27.3;7129383.082;735781.155
10;0.16;5.05;31.6;7129034.365;734376.428
10;0.04;0.99;24.8;7129028.418;734728.613
10;0.04;0.88;22;7129034.116;735782.39
10;0.02;0.47;23.5;7129032.066;736129.927
10;0.11;4.15;37.7;7128681.078;733684.961
10;0.29;9.63;33.2;7128687.695;734035.137
10;0.11;5.14;46.7;7128685.322;735083.353
10;0.04;1.09;27.3;7128682.303;735430.8
10;0.06;1.78;29.7;7128682.011;735789.567
10;0.05;0.86;17.2;7128685.594;736131.768
10;0.09;1.72;19.1;7128331.229;735080.598
10;0.09;2.27;25.2;7128333.12;735781.338
10;0.09;2.01;22.3;7128335.35;736131.359
10;0.07;2.83;40.4;7127983.019;734716.799
10;0.08;2.36;29.5;7127986.143;735780.773
10;0.07;1.61;23;7127984.32;736140.935
10;0.15;5.43;36.2;7127622.47;734381.138
10;0.05;2.45;49;7127637.293;734729.557
20;0.16;4.59;28.7;7138483.695;732631.472
20;0.07;1.44;20.6;7138130.739;731230.116
20;0.06;1.33;22.2;7138133.424;732280.852
20;0.03;0.69;23;7138135.675;733678.22
20;0.04;0.65;16.3;7138133.334;734033.096
20;0.07;1.68;24;7137779.8;732982.17
20;0.07;1.74;24.9;7137782.125;733329.956
20;0.15;3.66;24.4;7137775.302;734368.856
20;0.1;2.29;22.9;7137784.195;734728.978
20;0.06;1.57;26.2;7137431.322;730528.552
20;0.06;1.65;27.5;7137432.667;731924.401
20;0.05;1.4;28;7137432.873;732993.875
20;0.09;1.99;22.1;7137434.02;733312.608
20;0.11;2.28;20.7;7137431.299;734378.933
20;0.07;1.64;23.4;7137082.887;729481.273
65;0.01;0.24;24;7137082.887;729481.273
20;0.12;3.2;26.7;7137080.836;730877.995
20;0.12;3.97;33.1;7137084.182;731227.894
20;0.08;2.37;29.6;7137084;731576.984
20;0.03;0.81;27;7137088.151;731936.199
20;0.05;1.87;37.4;7137081.485;732280.286
20;0.04;1.07;26.8;7137080.573;733679.129
20;0.12;3.99;33.3;7137088.87;734029.077
20;0.02;0.79;39.5;7137082.223;734378.245
20;0.03;0.71;23.7;7137078.664;734729.592
20;0.06;1.38;23;7136730.795;729481.169
65;0.02;0.24;12;7136730.795;729481.169
20;0.01;0.15;15;7136738.183;729829.802
20;0.02;0.56;28;7136740.304;731224.918
20;0.1;2.76;27.6;7136734.163;731583.743
20;0.1;2.39;23.9;7136738.105;732276.898
20;0.09;1.71;19;7136730.445;732630.881
20;0.03;0.67;22.3;7136729.434;734032.089
20;0.04;1;25;7136733.117;734380.683
20;0.09;2.02;22.4;7136732.369;734733.644
20;0.09;2.08;23.1;7136727.643;735081.911
20;0.06;1.54;25.7;7136377.567;729479.418
20;0.13;4.03;31;7136380.792;730174.837
20;0.08;1.78;22.3;7136385.629;730524.506
20;0.06;1.95;32.5;7136380.787;733326.858
65;0.01;0.2;20;7136380.787;733326.858
20;0.06;1.07;17.8;7136380.949;734734.5
20;0.12;3.19;26.6;7136030.51;727381.114
20;0.1;3.15;31.5;7136035.836;727725.403
20;0.04;1.02;25.5;7136034.844;729480.076
20;0.07;1.85;26.4;7136029.111;730178.979
20;0.02;0.57;28.5;7136036.643;730530.59
20;0.05;1.28;25.6;7136034.155;731576.608
20;0.24;8.44;35.2;7136021.577;731926.315
20;0.1;2.52;25.2;7136034.896;732980.404
20;0.04;1.38;34.5;7136031.537;733331.059
20;0.07;2.05;29.3;7135682.16;729478.274
20;0.06;1.78;29.7;7135682.235;729830.516
20;0.09;2.31;25.7;7135683.977;731237.042
20;0.05;1.41;28.2;7135683.262;731581.976
20;0.14;4.57;32.6;7135685.066;731933.321
20;0.05;1.07;21.4;7135685.023;732282.698
20;0.02;0.6;30;7135682.996;732633.623
20;0.03;1.04;34.7;7135677.187;733680.288
20;0.02;0.64;32;7135683.327;734030.498
20;0.04;1.44;36;7135334.096;729478.407
20;0.09;2.73;30.3;7135333.048;731229.105
20;0.04;1.36;34;7135338.588;732280.594
20;0.05;1.27;25.4;7135328.897;732635.371
20;0.04;1.5;37.5;7135328.08;733680.821
20;0.07;1.87;26.7;7135330.577;734025.028
20;0.06;1.43;23.8;7135331.985;735082.318
20;0.07;1.76;25.1;7135351.675;735428.472
20;0.05;1.34;26.8;7134980.251;727381.779
20;0.08;2.11;26.4;7134982.976;727725.068
20;0.09;3.05;33.9;7134981.239;728780.223
20;0.04;1.27;31.8;7134982.384;729127.849
20;0.03;0.85;28.3;7134980.584;731580.908
20;0.09;2.46;27.3;7134979.224;732979.309
20;0.24;6.48;27;7134984.011;734377.015
20;0.05;1.07;21.4;7134982.361;734732.519
20;0.08;2.86;35.8;7134983.717;735782.45
20;0.1;2.75;27.5;7134631.282;727381.978
20;0.08;2.37;29.6;7134631.875;727727.57
20;0.03;0.73;24.3;7134631.009;728779.691
20;0.06;1.72;28.7;7134631.799;729133.342
20;0.05;1.34;26.8;7134629.639;730179.322
20;0.01;0.42;42;7134632.81;731571.93
20;0.08;2.32;29;7134630.612;732981.952
20;0.06;1.52;25.3;7134628.006;733333.377
20;0.05;1.39;27.8;7134626.777;735768.299
20;0.06;2.08;34.7;7134280.982;727730.294
20;0.05;1.33;26.6;7134281.586;728080.971
20;0.05;1.23;24.6;7134275.298;728428.778
20;0.03;1.16;38.7;7134284.312;729480.102
20;0.06;1.7;28.3;7134279.634;729833.29
20;0.02;0.96;48;7134281.092;730882.544
20;0.05;1.74;34.8;7134279.03;731222.068
20;0.02;0.52;26;7134286.336;731930.622
20;0.06;1.77;29.5;7134277.928;732277.009
20;0.06;2.2;36.7;7134271.763;732630.598
20;0.1;2.44;24.4;7134278.794;733685.349
20;0.06;2.24;37.3;7134283.796;734033.112
20;0.03;0.86;28.7;7134281.941;735436.425
20;0.05;1.3;26;7133934.105;727030.635
20;0.06;1.65;27.5;7133921.785;728082.498
20;0.05;1.11;22.2;7133931.24;729830.999
20;0.05;1.53;30.6;7133930.484;731230.02
20;0.06;2.18;36.3;7133929.849;731582.081
20;0.25;5.19;20.8;7133932.606;731936.463
20;0.03;0.54;18;7133928.935;732634.392
20;0.1;2.72;27.2;7133930.214;733689.269
20;0.05;1.9;38;7133931.208;735085.369
20;0.08;2.29;28.6;7133931.387;736485.276
20;0.03;1.59;53;7133576.358;728776.144
20;0.11;2.36;21.5;7133579.844;729133.506
20;0.07;1.84;26.3;7133584.543;730177.258
20;0.04;1.82;45.5;7133579.641;730533.869
20;0.01;0.75;75;7133583.53;730879.925
20;0.06;1.35;22.5;7133586.555;731226.988
20;0.03;0.9;30;7133582.162;731577.026
20;0.03;0.69;23;7133579.087;731933.101
20;0.04;1.64;41;7133582.2;732281.06
20;0.47;12.49;26.6;7133593.27;732973.851
20;0.03;0.48;16;7133572.514;733332.604
20;0.05;2.02;40.4;7133589.944;734736.639
20;0.09;2.66;29.6;7133587.492;735774.275
20;0.07;1.51;21.6;7133584.845;736130.614
20;0.06;1.94;32.3;7133231.917;729479.895
20;0.04;1.04;26;7133227.676;730179.602
20;0.02;0.47;23.5;7133229.01;730532.824
20;0.05;1.55;31;7133227.538;730882.06
20;0.03;0.82;27.3;7133233.649;731232.186
20;0.07;1.66;23.7;7133204.258;731611.094
20;0.05;1.73;34.6;7133233.652;731928.777
20;0.07;2.17;31;7133224.315;732279.272
20;0.02;0.36;18;7133228.362;732627.825
20;0.05;1.53;30.6;7133234.126;733326.016
20;0.04;0.85;21.3;7133232.247;734378.727
20;0.04;1.14;28.5;7133234.035;734727.859
20;0.08;1.93;24.1;7133236.881;735782.295
20;0.04;0.72;18;7132883.626;729831.377
20;0.11;2.92;26.5;7132882.08;731229.808
20;0.06;1.4;23.3;7132883.287;731578.159
20;0.05;1.46;29.2;7132880.565;731935.495
20;0.02;0.71;35.5;7132884.035;732277.414
20;0.05;0.97;19.4;7132877.314;732632.972
20;0.04;0.64;16;7132530.872;729482.831
20;0.07;1.32;18.9;7132534.834;729833.045
20;0.02;0.32;16;7132533.354;730880.151
20;0.03;0.95;31.7;7132529.488;731227.832
20;0.02;0.54;27;7132529.63;731581.177
20;0.03;1.08;36;7132535.864;731928.16
20;0.06;0.98;16.3;7132528.151;732279.73
20;0.08;1.92;24;7132532.438;732628.812
20;0.09;1.67;18.6;7132530.056;733682.465
20;0.07;1.07;15.3;7132532.311;734031.344
20;0.04;0.33;8.3;7132182.223;731579.302
20;0.06;1.33;22.2;7132180.344;731932.458
20;0.04;0.56;14;7132182.979;732982.304
20;0.04;0.55;13.8;7132186.76;733331.292
20;0.04;0.66;16.5;7132175.543;734386.939
20;0.04;0.69;17.3;7132189.692;734710.538
20;0.05;1.25;25;7132180.57;735781.509
20;0.05;0.99;19.8;7131828.784;730177.873
20;0.03;0.53;17.7;7131823.537;731577.724
20;0.05;0.9;18;7131833.152;731928.569
20;0.04;0.66;16.5;7131824.163;732979.017
20;0.04;0.65;16.3;7131839.415;734380.606
20;0.05;1.66;33.2;7129733.321;732628.713
20;0.04;0.87;21.8;7131490.936;730881.776
20;0.05;0.73;14.6;7131481.41;732278.391
20;0.03;0.48;16;7131484.966;732633.028
20;0.02;0.53;26.5;7131482.02;734032.546
20;0.03;0.35;11.7;7131480.374;735079.501
20;0.06;1.46;24.3;7131481.073;735429.704
20;0.04;0.75;18.8;7131138.837;731234.468
20;0.03;0.41;13.7;7131142.539;733680.999
20;0.05;0.33;6.6;7131130.636;734026.951
20;0.04;0.8;20;7131129.72;735429.805
20;0.01;0.28;28;7130776.267;729831.519
20;0.07;1.64;23.4;7130777.346;730178.642
20;0.05;0.88;17.6;7130788.309;730538.104
20;0.02;0.39;19.5;7130782.748;731578.179
20;0.03;0.37;12.3;7130782.523;731934.504
20;0.03;0.19;6.3;7130782.312;733331.039
20;0.03;0.29;9.7;7130781.607;734382.123
20;0.06;0.89;14.8;7130780.96;734730.833
20;0.17;2.89;17;7130782.645;735778.404
20;0.01;0.27;27;7130431.066;730181.297
20;0.04;0.85;21.3;7130427.434;730525.962
20;0.03;0.42;14;7130429.446;731581.77
20;0.05;3.36;67.2;7130429.528;731929.796
20;0.05;0.79;15.8;7130430.196;732976.239
20;0.05;0.58;11.6;7130429.92;733329.944
20;0.05;0.71;14.2;7130428.14;734379.664
20;0.06;0.71;11.8;7130427.422;734729.191
20;0.11;2.57;23.4;7130435.704;735772.723
20;0.04;1.03;25.8;7130083.767;730882.685
20;0.02;0.39;19.5;7130083.424;731229.77
20;0.1;2.22;22.2;7130076.933;732277.493
20;0.1;1.48;14.8;7130080.551;733678.794
20;0.03;0.46;15.3;7130082.429;734028.075
20;0.04;0.46;11.5;7130081.203;735077.931
20;0.02;0.27;13.5;7130082.779;735431.108
20;0.03;0.8;26.7;7130069.659;735780.147
20;0.07;1.59;22.7;7130081.14;736136.945
20;0.04;0.98;24.5;7130086.164;736492.783
20;0.08;1.9;23.8;7130083.918;736829.121
20;0.02;0.28;14;7129731.594;730880.065
20;0.06;1;16.7;7129732.856;731230.72
20;0.02;0.45;22.5;7129732.793;732280.5
20;0.03;0.64;21.3;7129730.698;733678.339
20;0.03;0.68;22.7;7129734.071;734028.011
20;0.04;0.82;20.5;7129735.813;735081.25
20;0.02;0.74;37;7129733.02;735431.166
20;0.03;0.84;28;7129728.786;735771.216
20;0.02;0.93;46.5;7129383.515;730529.537
20;0.1;3.01;30.1;7129379.655;733328.932
20;0.11;3.75;34.1;7129034.365;734376.428
20;0.03;0.55;18.3;7129028.418;734728.613
20;0.04;0.69;17.3;7129034.116;735782.39
20;0.02;0.58;29;7129032.066;736129.927
20;0.08;2.89;36.1;7128681.078;733684.961
20;0.06;2.18;36.3;7128687.695;734035.137
20;0.06;1.96;32.7;7128685.322;735083.353
20;0.07;2.02;28.9;7128682.303;735430.8
20;0.02;0.59;29.5;7128682.011;735789.567
20;0.03;0.26;8.7;7128685.594;736131.768
20;0.07;1.24;17.7;7128331.229;735080.598
20;0.05;1.2;24;7128333.12;735781.338
20;0.05;1.52;30.4;7127983.019;734716.799
20;0.03;0.43;14.3;7127984.32;736140.935
20;0.09;2.34;26;7127622.47;734381.138
20;0.07;2.96;42.3;7127637.293;734729.557
10;0.1;2.93;29.3;7129032.972;730878.313
20;0.24;7.32;30.5;7133232.641;733680.573
20;0.03;1.08;36;7133225.33;734040.027
20;0.02;0.44;22;7129383.082;735781.155
20;0.07;2.3;32.9;7129032.972;730878.313
65;0;0.07;NA;7134987.059;734029.407
65;0.01;0.34;34;7134983.541;735086.565
65;0.01;0.36;36;7134627.205;728076.956
65;0.18;4.03;22.38888889;7134631.245;729834.803
65;0.02;0.48;24;7134632.302;730885.808
65;0.01;0.47;47;7134635.787;731226.406
65;0.01;0.3;30;7134631.513;732630.067
65;0;0.07;NA;7134643.946;734041.543
65;0.01;0.18;18;7138134.876;732982.077
65;0.02;0.28;14;7138137.463;733332.384
65;0.01;0.11;11;7137784.892;732283.786
65;0.05;1.86;37.2;7137779.743;732630.094
65;0.03;1.1;36.66666667;7137786.142;733676.274
65;0.01;0.37;37;7137437.938;729829.171
65;0.01;0.12;12;7137411.928;732270.212
65;0.02;0.44;22;7137434.453;732630.518
65;0.05;0.93;18.6;7137432.301;733678.655
65;0.01;0.21;21;7137432.458;735081.485
65;0.01;0.29;29;7137085.699;730175.561
65;0.06;1.86;31;7137087.53;732978.842
65;0.02;0.38;19;7137083.991;733337.561
65;0.01;0.35;35;7136729.575;729131.774
65;0.01;0.29;29;7136387.285;730877.076
65;0.01;0.25;25;7136382.601;732625.902
65;0.04;1.03;25.75;7136377.364;734028.728
65;0.01;0.29;29;7136027.225;731228.928
65;0.01;0.29;29;7136036.337;732633.192
65;0.02;0.24;12;7136029.457;734032.198
65;0.01;0.28;28;7135689.856;729123.4
65;0.01;0.41;41;7135679.207;730532.711
65;0.01;0.34;34;7135678.624;734732.261
65;0.01;0.26;26;7135325.87;729133.54
65;0.03;0.69;23;7135327.603;732982.049
65;0.02;0.48;24;7135331.168;734730.088
65;0.03;1.68;56;7134981.878;728081.832
65;0.01;0.49;49;7134983.58;730882.686
65;0.01;0.69;69;7134986.681;731229.118
65;0.01;0.36;36;7134964.781;733681.325
10;0.05;1.12;22.4;7138134.876;732982.077
10;0.04;0.72;18;7138137.463;733332.384
10;0.05;1.18;23.6;7137782.164;730880.205
10;0.03;0.51;17;7137784.892;732283.786
10;0.04;0.98;24.5;7137779.743;732630.094
10;0.13;4.01;30.84615385;7137786.142;733676.274
10;0.03;0.74;24.66666667;7137437.938;729829.171
10;0.03;0.48;16;7137411.928;732270.212
10;0.15;4.88;32.53333333;7137434.453;732630.518
10;0.18;5.28;29.33333333;7137432.301;733678.655
10;0.07;1.71;24.42857143;7137432.458;735081.485
10;0.05;1;20;7137077.845;729133.044
10;0.02;0.7;35;7137085.699;730175.561
10;0.07;2.27;32.42857143;7137087.53;732978.842
10;0.03;0.74;24.66666667;7137083.991;733337.561
10;0.04;1.42;35.5;7136729.575;729131.774
10;0.06;1.83;30.5;7136731.25;733329.144
10;0.03;0.74;24.66666667;7136387.285;730877.076
10;0.05;1.02;20.4;7136382.601;732625.902
10;0.06;2.18;36.33333333;7136377.364;734028.728
10;0.03;1.49;49.66666667;7136035.145;730879.434
10;0.04;1.4;35;7136027.225;731228.928
10;0.08;2.21;27.625;7136028.994;732273.975
10;0.06;1.48;24.66666667;7136036.337;732633.192
10;0.06;1.32;22;7136029.457;734032.198
10;0.03;0.67;22.33333333;7135679.798;727380.354
10;0.05;1.39;27.8;7135689.856;729123.4
10;0.06;2.1;35;7135682.348;730172.836
10;0.06;3.82;63.66666667;7135679.207;730532.711
10;0.06;1.84;30.66666667;7135682.362;734378.529
10;0.04;0.99;24.75;7135678.624;734732.261
10;0.04;1.39;34.75;7135325.87;729133.54
10;0.04;1.03;25.75;7135327.603;732982.049
10;0.06;4.44;74;7135334.281;733330.581
10;0.04;1.1;27.5;7135332.129;734378.53
10;0.09;2.78;30.88888889;7135331.168;734730.088
10;0.04;1.88;47;7134981.878;728081.832
10;0.47;15.36;32.68085106;7134981.553;728430.897
10;0.07;2.55;36.42857143;7134983.58;730882.686
10;0.05;2.74;54.8;7134986.681;731229.118
10;0.06;1.84;30.66666667;7134987.413;732279.374
10;0.03;0.84;28;7134964.781;733681.325
10;0.04;1.37;34.25;7134987.059;734029.407
10;0.04;1.13;28.25;7134983.541;735086.565
10;0.04;0.84;21;7134982.07;735420.05
10;0.08;2.18;27.25;7134627.205;728076.956
10;0.07;3.1;44.28571429;7134633.8;728432.239
10;0.05;1.43;28.6;7134630.07;729477.999
10;0.15;4.54;30.26666667;7134631.245;729834.803
10;0.06;1.65;27.5;7134632.302;730885.808
10;0.03;1.05;35;7134635.787;731226.406
10;0.03;0.69;23;7134631.513;732630.067
10;0.1;3.26;32.6;7134633.167;733677.66
10;0.03;0.81;27;7134643.946;734041.543
10;0.04;0.75;18.75;7134626.668;735083.106
10;0.1;2.03;20.3;7134626.796;735433.169
10;0.01;0.16;16;7134272.809;728779.12
10;0.07;2.5;35.71428571;7134279.832;729131.21
10;0.09;2.14;23.77777778;7134288.462;732975.964
10;0.08;2.29;28.625;7134283.302;733329.635
10;0.06;1.98;33;7134281.646;734729.937
10;0.04;0.72;18;7134280.652;735778.924
10;0.03;0.91;30.33333333;7133930.646;728783.227
10;0.06;1.94;32.33333333;7133931.857;730176.628
10;0.08;2.19;27.375;7133933.131;732984.2
10;0.04;1.26;31.5;7133927.866;733329.217
10;0.04;0.81;20.25;7133933.798;735780.128
