SMC;Humusform;HumusformCode;OTh_plot;OTh_pit;SoilType;North;East
Mesic;Mor (type 1);1;8.1;8;Podzol;7135685.023;732282.698
Mesic;Mor (type 1);1;4.1;3.7;Podzol;7135682.996;732633.623
Mesic;Mor (type 2);2;11;17;Podzol;7135328.897;732635.371
Mesic;Mor (type 1);1;4.5;7.7;Arenosol;7131479.747;731230.743
Mesic;Mor (type 1);1;7.8;7.7;Arenosol;7131138.837;731234.468
Mesic;Mor (type 1);1;3.8;3.5;Arenosol;7131490.936;730881.776
Mesic;Mor (type 2);2;8.9;9;Podzol;7135338.588;732280.594
Mesic;Mor (type 2);2;5.7;5.8;Regosol;7132182.979;732982.304
Mesic-moist;Mor (type 1);1;6;7.3;Regosol;7132186.76;733331.292
Mesic;Mor (type 2);2;7;7;Regosol;7131824.163;732979.017
Mesic;Mor (type 1);1;3.5;10.7;Podzol;7137082.887;729481.273
Moist;Peat;7;99;99;Histosol;7137082.916;729831.134
Mesic;Mor (type 1);1;3.9;3.7;Podzol;7136380.787;733326.858
Mesic;Mor (type 1);1;4.3;4.2;Podzol;7136730.795;729481.169
Mesic;Mor (type 2);2;5.2;7;Podzol;7136738.183;729829.802
Mesic;Mor (type 1);1;5.5;9.7;Podzol;7136031.537;733331.059
Mesic;Mor (type 1);1;8.2;3.7;Podzol;7136034.896;732980.404
Mesic;Mor (type 1);1;4.5;4.3;Podzol;7134631.799;729133.342
Mesic;Mor (type 1);1;11.6;6.5;Podzol;7134631.009;728779.691
Dry;Mor (type 1);1;6.3;4.8;Podzol;7134981.239;728780.223
Mesic;Mor (type 1);1;6.5;4.2;Podzol;7134982.384;729127.849
Dry;Mor (type 1);1;3.9;2.8;Podzol;7137080.573;733679.129
Mesic;Mor (type 1);1;6.2;7.2;Podzol;7136729.434;734032.089
Dry;Mor (type 1);1;2.7;3.1;Podzol;7130431.066;730181.297
Mesic;Mor (type 1);1;5.5;5.3;Podzol;7130788.309;730538.104
Mesic;Mor (type 1);1;5.5;5;Podzol;7137088.87;734029.077
Mesic;Mor (type 1);1;8.1;5;Arenosol;7130427.434;730525.962
Mesic;Mull;5;7.1;7.5;Umbrisol;7130777.346;730178.642
Mesic;No humus layer;0;5.5;0;Podzol;7127622.47;734381.138
Mesic;Mor (type 1);1;4.9;7;Podzol;7127637.293;734729.557
Mesic;Peat;7;37.3;30;Gleysol;7127983.019;734716.799
Dry;Mor (type 1);1;3.2;4.2;Arenosol;7130782.748;731578.179
Mesic;Mor (type 1);1;3.8;2.4;Arenosol;7130429.446;731581.77
Mesic;Mor (type 1);1;6.1;5.5;Ej klassificerbar;7130429.528;731929.796
Mesic;Mor (type 1);1;4.2;4.8;Podzol;7130782.523;731934.504
Mesic;Mor (type 1);1;5.8;7.3;Podzol;7133234.126;733326.016
Mesic;Mor (type 1);1;9.5;14;Podzol;7133572.514;733332.604
Mesic;Mor (type 2);2;13.4;20.7;Podzol;7133593.27;732973.851
Mesic;Mor (type 1);1;4.2;5.5;Podzol;7134283.796;734033.112
Mesic;Mor (type 2);2;15.3;17.7;Podzol;7134278.794;733685.349
Mesic-moist;Mor (type 2);2;21.5;22;Podzol;7133930.214;733689.269
Mesic-moist;Peat;7;65.2;77;Histosol;7133928.258;734030.946
Mesic;Mor (type 1);1;6;3.7;Podzol;7135328.08;733680.821
Dry;Mor (type 1);1;5.7;2.6;Podzol;7135677.187;733680.288
Mesic;Mor (type 1);1;5.8;5;Podzol;7135330.577;734025.028
Mesic;No humus layer;0;4.1;0;Podzol;7135683.327;734030.498
Mesic;Mor (type 1);1;5.6;5.8;Podzol;7134982.361;734732.519
Mesic;Mor (type 1);1;11.3;9.7;Podzol;7134984.011;734377.015
Mesic;Mor (type 1);1;5.8;7.7;Podzol;7137432.667;731924.401
Wet;Peat;7;96.2;99;Histosol;7137427.874;731575.439
Moist;Peat;7;94;80;Histosol;7137781.002;731581.858
Moist;Peaty Mor;6;23;21;Regosol;7128687.695;734035.137
Dry;Mor (type 2);2;3.9;3.2;Podzol;7131142.539;733680.999
Mesic;Mor (type 1);1;4.5;4.5;Podzol;7131823.537;731577.724
Mesic;Mor (type 1);1;6.5;7.3;Regosol;7131833.152;731928.569
Mesic;Mor (type 1);1;7.5;7.3;Regosol;7132180.344;731932.458
Mesic;Mor (type 1);1;5.8;5.2;Regosol;7132182.223;731579.302
Moist;Peat;7;99;99;Histosol;7134275.783;735081.208
Mesic;Mor (type 1);1;5.5;6.7;Podzol;7134281.941;735436.425
Mesic;Mor (type 2);2;5.9;5.8;Podzol;7133931.208;735085.369
Moist;Peaty Mor;6;NA;22;Histosol;7134980.584;731580.908
Moist;Peat;7;99;92;Histosol;7134630.866;731930.209
Moist;Peat;7;68.3;66;Histosol;7134983.614;731924.427
Mesic;Mor (type 1);1;5.2;5.3;Regosol;7131130.636;734026.951
Mesic;Mor (type 2);2;4.2;3.8;Podzol;7131482.02;734032.546
Mesic;Mor (type 1);1;8.9;9.7;Podzol;7133930.484;731230.02
Mesic;Mor (type 1);1;5;6;Podzol;7134279.03;731222.068
Mesic;Mor (type 1);1;7.2;3.7;Podzol;7134632.81;731571.93
Moist;Peat;7;99;99;Histosol;7128334.503;734029.094
Moist;Peat;7;99;99;Histosol;7128333.618;733682.331
Moist;Mor (type 2);2;25.3;23;Gleysol;7128681.078;733684.961
Mesic;Mor (type 1);1;5.8;4.5;Regosol;7132884.035;732277.414
Mesic;Mor (type 1);1;9;7;Podzol;7132528.151;732279.73
Mesic-moist;Mor (type 1);1;15.2;13;Gleysol;7132532.438;732628.812
Dry;Mor (type 1);1;4.3;12.7;Podzol;7130427.422;734729.191
Dry;Mor (type 1);1;6.2;4.2;Arenosol;7130428.14;734379.664
Mesic;Mor (type 1);1;5.2;3.7;Podzol;7134983.717;735782.45
Dry;Mor (type 1);1;12;3.7;Regosol;7130781.607;734382.123
Mesic;Mor (type 1);1;2.9;3.7;Regosol;7130780.96;734730.833
Mesic;Mor (type 1);1;10.5;11.7;Podzol;7134626.777;735768.299
Mesic;Mor (type 1);1;6.8;4.2;Podzol;7130086.164;736492.783
Dry;Mor (type 1);1;4.8;4.2;Podzol;7130083.918;736829.121
Mesic;Mor (type 1);1;4.5;5.2;Arenosol;7127984.32;736140.935
Moist;Peat;7;99;99;Histosol;7134978.911;730179.168
Wet;Peat;7;99;99;Histosol;7134981.927;730531.38
Mesic;Mor (type 1);1;5.2;5.3;Podzol;7134629.639;730179.322
Mesic;Mor (type 1);1;16.4;8;Podzol;7134631.929;730528.738
Mesic;Mor (type 1);1;9.2;7;Podzol;7138483.695;732631.472
Mesic;Mor (type 1);1;5.8;3.7;Podzol;7138133.424;732280.852
Mesic;Mor (type 1);1;8.6;7;Regosol;7132533.354;730880.151
Mesic;Mor (type 1);1;8.8;7;Podzol;7132882.08;731229.808
Mesic;Mor (type 2);2;6.9;7.3;Podzol;7132529.488;731227.832
Mesic;Mor (type 2);2;9.7;13.3;Podzol;7133579.087;731933.101
Mesic;Mor (type 1);1;10.4;10.7;Podzol;7133582.162;731577.026
Moist;Peat;7;93.7;99;Histosol;7136033.612;734729.785
Mesic;Mor (type 1);1;8.1;6.7;Podzol;7136380.949;734734.5
Mesic;Mor (type 1);1;4;5;Podzol;7134630.612;732981.952
Mesic;Mor (type 1);1;6.8;6.7;Podzol;7134979.224;732979.309
Mesic-moist;Peat;7;43.1;31;Podzol;7134628.006;733333.377
Mesic;Mor (type 1);1;4.5;4;Podzol;7131481.41;732278.391
Mesic;Mor (type 1);1;7.1;5.5;Podzol;7131130.888;732280.222
Mesic;No humus layer;0;1.2;0;Podzol;7131484.966;732633.028
Mesic;Mor (type 1);1;4.6;4.3;Regosol;7132189.692;734710.538
Mesic;Mor (type 1);1;5.3;7;Regosol;7131839.415;734380.606
Mesic;Mor (type 1);1;7.8;7;Regosol;7132175.543;734386.939
Mesic;Mor (type 1);1;11.4;7.2;Podzol;7137784.195;734728.978
Wet;Peat;7;99;99;Histosol;7137433.872;734725.609
Mesic;Mor (type 1);1;5.1;8;Podzol;7137431.299;734378.933
Mesic;Mor (type 1);1;4.1;7;Podzol;7137775.302;734368.856
Mesic;Mor (type 1);1;3.6;4.3;Arenosol;7129731.594;730880.065
Mesic;Mor (type 1);1;5.7;6.7;Podzol;7131129.72;735429.805
Mesic;Mor (type 1);1;6.3;4.8;Regosol;7129732.856;731230.72
Mesic;Mor (type 1);1;5.4;6.3;Podzol;7133589.944;734736.639
Mesic;Mor (type 1);1;10.2;8.7;Podzol;7133584.543;730177.258
Mesic;Mor (type 1);1;6.2;7.3;Regosol;7133579.641;730533.869
Dry;No humus layer;0;4.9;0;Regosol;7131480.374;735079.501
Wet;Peaty Mor;6;11.6;7.9;Gleysol;7131481.073;735429.704
Moist;Peat;7;52.3;31;Gleysol;7138130.739;731230.116
Mesic;Mor (type 1);1;6.7;7;Podzol;7133921.785;728082.498
Mesic-moist;Peaty Mor;6;7.2;10.3;Podzol;7130083.767;730882.685
Moist;Peaty Mor;6;8.7;9;Gleysol;7133232.247;734378.727
Dry;Mor (type 1);1;8.5;7;Regosol;7133234.035;734727.859
Mesic;Mor (type 1);1;10.2;5.7;Podzol;7133227.676;730179.602
Mesic-moist;Peaty Mor;6;26.5;15.7;Podzol;7133229.01;730532.824
Mesic;Mor (type 1);1;5.7;5.5;Podzol;7128685.322;735083.353
Mesic;Mor (type 1);1;9.2;10;Podzol;7128682.303;735430.8
Wet;Peat;7;51.3;59;Histosol;7128332.216;735429.105
Mesic;Mor (type 1);1;9.6;9;Regosol;7128331.229;735080.598
Mesic;Mor (type 1);1;6;3.8;Podzol;7136034.155;731576.608
Mesic-moist;Peat;7;99;99;Histosol;7136384.909;731582.833
Mesic-moist;Peaty Mor;6;32.5;27;Regosol;7136021.577;731926.315
Mesic;Mor (type 1);1;4.4;15;Podzol;7130083.424;731229.77
Mesic;Mor (type 1);1;10.5;4.7;Podzol;7134277.928;732277.009
Dry;Mor (type 1);1;5.1;2.1;Podzol;7134281.586;728080.971
Mesic;Mor (type 1);1;5.2;5.7;Podzol;7134275.298;728428.778
Mesic-moist;Mor (type 1);1;12.9;7.3;Leptosol;7133927.093;728420.6
Mesic;Mor (type 1);1;4.8;7.7;Podzol;7129379.655;733328.932
Mesic;Mor (type 1);1;2.2;3.5;Podzol;7129383.082;735781.155
Mesic-moist;Peaty Mor;6;10.4;9.7;Regosol;7133928.935;732634.392
Mesic-moist;Peat;7;24.5;35;Regosol;7134271.763;732630.598
Mesic-moist;Peat;7;20.9;35;Histosol;7135332.099;729829.734
Mesic;Peaty Mor;6;8.4;11.7;Regosol;7135334.096;729478.407
Mesic;Mor (type 1);1;4.5;3.4;Podzol;7129034.116;735782.39
Mesic;Mor (type 1);1;13.1;12.3;Podzol;7129032.066;736129.927
Dry;Mor (type 1);1;9.6;17;Regosol;7129735.813;735081.25
Mesic;Mor (type 1);1;2.8;2;Regosol;7130081.203;735077.931
Mesic;Mor (type 1);1;6.7;6.7;Podzol;7129733.02;735431.166
Dry;No humus layer;0;2.4;0;Arenosol;7130082.779;735431.108
Mesic;No humus layer;0;3.7;0;Podzol;7135682.16;729478.274
Mesic;Mor (type 1);1;10;7;Podzol;7135682.235;729830.516
Mesic;Mor (type 1);1;9.2;10.3;Podzol;7129734.071;734028.011
Mesic;Mor (type 1);1;10.5;11;Podzol;7129730.698;733678.339
Mesic;No humus layer;0;4.1;0;Podzol;7137431.322;730528.552
Mesic-moist;Peat;7;99;99;Histosol;7137433.175;730180.984
Mesic;Peaty Mor;6;19.1;20;Regosol;7132881.509;735434.012
Dry;Mor (type 1);1;9.2;23;Leptosol;7132530.531;735431.999
Mesic;Mor (type 1);1;5.7;6.7;Podzol;7133934.105;727030.635
Mesic;Mor (type 1);1;10.5;5.2;Podzol;7130435.704;735772.723
Mesic;Mor (type 1);1;18.2;19;Regosol;7130782.645;735778.404
Mesic;Mor (type 1);1;6.3;5.7;Gleysol;7132883.626;729831.377
Mesic;Mor (type 1);1;4.2;10;Podzol;7132530.872;729482.831
Mesic;Mor (type 1);1;8.6;3.1;Regosol;7132534.834;729833.045
Mesic;Mor (type 1);1;6.6;4.8;Podzol;7136029.111;730178.979
Mesic-moist;Mor (type 1);1;6.6;8;Regosol;7136036.643;730530.59
Mesic;Mor (type 1);1;6.5;12.3;Podzol;7136385.629;730524.506
Mesic;Moder;3;7;4.3;Podzol;7129028.418;734728.613
Mesic-moist;Peaty Mor;6;37.4;20;Regosol;7129034.365;734376.428
Mesic;Mor (type 2);2;3.9;6.7;Podzol;7137782.125;733329.956
Mesic;Mor (type 1);1;6.9;8;Podzol;7137779.8;732982.17
Mesic;Mor (type 1);1;6.8;6;Regosol;7137434.02;733312.608
Mesic;Mor (type 1);1;6.8;9.3;Regosol;7131828.784;730177.873
Mesic;Mor (type 1);1;5.8;4.7;Podzol;7137432.873;732993.875
Mesic;Mor (type 1);1;9;9.3;Podzol;7136740.304;731224.918
Mesic;Mor (type 1);1;8.5;3.7;Regosol;7130080.551;733678.794
Mesic;Mor (type 1);1;6.5;7;Regosol;7130082.429;734028.075
Mesic;Mor (type 1);1;15.2;9.3;Podzol;7133584.845;736130.614
Mesic;Mor (type 2);2;4.4;4.2;Podzol;7137080.836;730877.995
Mesic;Mor (type 1);1;11.2;15.7;Podzol;7137084.182;731227.894
Mesic;Mor (type 2);2;35.7;7;Podzol;7136380.792;730174.837
Mesic-moist;Mor (type 1);1;13.9;10.7;Podzol;7136727.643;735081.911
Moist;Peat;7;99;99;Histosol;7137085.545;735080.48
Mesic-moist;Peat;7;35.8;68;Histosol;7135331.2;730878.853
Mesic-moist;Peat;7;27.3;37;Regosol;7135333.048;731229.105
Mesic-moist;Peat;7;54.8;56;Histosol;7135690.631;730881.708
Mesic;Mor (type 1);1;11.1;10;Regosol;7127986.143;735780.773
Mesic;No humus layer;0;5.6;0;Podzol;7134980.251;727381.779
Mesic;Mor (type 1);1;8.3;9.7;Podzol;7134982.976;727725.068
Mesic;Mor (type 1);1;4.5;3.3;Podzol;7134631.875;727727.57
Mesic;Moder;3;9.9;4.3;Podzol;7134631.282;727381.978
Wet;Peat;7;45;35;Histosol;7135335.226;728435.047
Mesic;Mor (type 1);1;6.9;8.7;Podzol;7136030.51;727381.114
Mesic;Mor (type 1);1;5.2;6;Podzol;7136035.836;727725.403
Mesic;Mor (type 1);1;6;3.3;Podzol;7133231.917;729479.895
Mesic-moist;Peaty Mor;6;36.2;23;Histosol;7135328.591;731578.738
Mesic-moist;Peaty Mor;6;20.5;20;Leptosol;7135334.914;731927.126
Mesic;Mor (type 1);1;9.2;6.5;Podzol;7133576.358;728776.144
Mesic-moist;Peaty Mor;6;15.8;22.3;Gleysol;7133579.844;729133.506
Mesic;Mor (type 1);1;8.7;14;Podzol;7137088.151;731936.199
Mesic;Mor (type 1);1;5.9;4.3;Podzol;7135683.262;731581.976
Mesic;Mor (type 1);1;8.3;7;Regosol;7135685.066;731933.321
Mesic;Mor (type 1);1;18.2;12;Podzol;7137084;731576.984
Mesic-moist;Mor (type 1);1;23.5;11.3;Podzol;7136734.163;731583.743
Mesic;Mor (type 1);1;7.1;8.7;Podzol;7133236.881;735782.295
Mesic;Mor (type 1);1;7.1;5.3;Podzol;7133587.492;735774.275
Mesic;Mor (type 1);1;5.8;3.9;Podzol;7134284.312;729480.102
Mesic-moist;Peaty Mor;6;18.5;13.3;Regosol;7134279.634;729833.29
Mesic;Mor (type 1);1;7.2;9.3;Regosol;7132530.056;733682.465
Mesic;Mor (type 1);1;8.5;6;Regosol;7132532.311;734031.344
Mesic;Mor (type 1);1;5.7;5.2;Podzol;7138135.675;733678.22
Mesic-moist;Mor (type 1);1;7.8;7.3;Podzol;7138133.334;734033.096
Mesic;Mor (type 1);1;7.6;9.7;Podzol;7135683.977;731237.042
Mesic;Mor (type 1);1;14.5;4.2;Podzol;7135351.675;735428.472
Mesic;Mor (type 1);1;8.5;8.2;Podzol;7135331.985;735082.318
Mesic;Mor (type 1);1;9.2;20;Histosol;7136732.22;731931.267
Moist;Peaty Mor;6;25.7;14.7;Regosol;7133228.362;732627.825
Mesic-moist;Peaty Mor;6;12.7;15.3;Regosol;7133224.315;732279.272
Mesic-moist;Peat;7;25.9;42;Histosol;7133582.2;732281.06
Mesic;Peaty Mor;6;36.7;20;Arenosol;7134286.336;731930.622
Mesic-moist;Peaty Mor;6;25;27;Gleysol;7137078.664;734729.592
